,Year,int_tourist_arrivals_millions,domestic_aviation_CO2_emissions_Mt,international_aviation_CO2_emissions_Mt,total_aviation_CO2_emissions_Mt,fossil_fuel_emissions_GtCarbon,land_use_emissions_GtCarbon,total_emissions_GtCarbon,deforestation_emissions_GtCarbon,deforestation_HA,deforestation_emissions_Mg_co2e,shipping_emissions_all_types_Mt_co2,shipping_volume_million_metric_tons,cars_sold_EV,cars_sold_non_EV,cars_sold_total,cement_production_thousand_metric_tons,percent_reporting_happiness,visits_to_US_national_parks,tonnes_fish_landed,passenger_vehicle_emissions_Gt_co2,exports_timber_products_USD,USA_WFH_share,total_municipal_waste_tonnes,outdoor_rec_participation_rate,millions_sales_garden_equipment,paid_fishing_license_holders,paid_hunting_license_holders,participation_in_outdoor_rec_percent,participation_in_outdoor_rec_million,number_of_outdoor_excursions,Finland_outdoor_visits
51,1955,,,,,,,,,,,,,,,,,,14.92779210694038,,,,,,,,,,,,,
52,1956,,,,,,,,,,,,,,,,,,16.448661495250718,,,,,,,,,,,,,
53,1957,,,,,,,,,,,,,,,,,,17.77638037964724,,,,,,,,,,,,,
54,1958,,,,,,,,,,,,,,,,,,17.8515521375726,,,,,,,,,,,,,
55,1959,,,,,23.864334946391747,204.49467827769718,40.59174447912975,109.58214584485357,,,,,,,,,,19.18498065589765,,,,,,,,,,,,,
56,1960,,,,,25.29899771683337,177.09167876149004,39.355873727134316,100.9898691281355,,,,,,,,,,21.857211465656952,,,,,,,,,,,,,
57,1961,,,,,25.37454622496557,180.11586840832123,39.704483377610856,97.73526450862808,,,,,,,,,,24.10073120594836,,,,,,,,,,,,,
58,1962,,,,,26.269982134272702,167.18045476536042,39.319103005557494,95.63376437392755,,,,,,,,,,27.03627689805872,,,,,,,,,,,,,
59,1963,,,,,27.670049941218107,162.70657958393807,40.17520988032349,93.93335176599015,,,,,,,,,,31.13118360567834,,,,,,,,,,,,,
60,1964,,,,,29.17309464782231,154.71940009675856,40.79940519917145,92.54859840911992,,,,,,,,,,33.33885783670721,,,,,,,,,,,,,
61,1965,,,,,30.483278734577503,148.5471698113207,41.41667464495875,88.53045642094519,,,,,,,,,,36.23098588471934,,,,5.751996243416327,,,,,,,,,
62,1966,,,,,31.97110147113807,137.92404450895017,41.78295388035165,86.80044521956111,,,,,,,,,,39.473447300089525,,,,,,,,,,,,,
63,1967,,,,,32.98101993146972,142.6253023705854,43.13471161724761,86.82632183419116,,,,,,,,,,41.34574923662118,,,,,,,,69.119598506736,,,,,
64,1968,,,,,34.78111909662844,140.81761006289307,44.6007085249334,86.81621932026033,,,,,,,,,,44.40980749132611,,,,,,,,71.93413111578866,96.1586568000757,,,,
65,1969,,,,,37.089484240472046,154.11586840832123,47.92680103901613,85.67658485402771,,,,,,,,,,48.57875624320609,,,,,,,,74.26152043498927,98.22855146421816,,,,
66,1970,,,,,40.154734972562004,150.36937590711176,50.36124513810164,86.23807194407834,,,,22.876526458616013,,,,,,51.33635676667754,,,,,,,,77.60467514034843,100.72994597760325,,,,
67,1971,,,,,41.78454779881889,135.15820029027574,50.43148549481488,86.09964977951688,,,,23.8082315694256,,,,,,46.185564708702614,,,,,,,,81.19104740326148,102.78564301267899,,,,
68,1972,,,,,43.72702444783087,142.3534107402032,52.86039552945804,86.45979553929719,,,,25.85255540479421,,,,,,49.81627176604434,,,,,,,,77.76327256047459,98.41358381802229,,,,
69,1973,,,,,46.046153933273594,138.485244315433,54.60654579844354,86.58705176740823,,,,29.280868385345997,,,,,,50.85919014082153,,,,,,,,86.82720785785301,99.80229463792153,,,,
70,1974,,,,,45.84665883507832,135.69448476052247,54.16708469577913,84.94140541920116,,,,29.43464495703302,,,,,,51.504714635564795,,,,,,,,87.73274078666343,105.63144743316579,,,,
71,1975,,,,,45.95899343880335,133.60643444605708,54.07565099027428,85.7687481390106,,,,27.634554500226145,,,,,,57.427833913979185,,,,8.546345354361081,,,,88.39962894341204,106.77816812501683,,,,
72,1976,,,,,48.48258234512868,134.26245766811803,56.426292564197766,85.69696711897572,,,,30.321121664405247,,,,,,65.75538079794357,,,,,,,,91.31847569230656,104.98737556086908,,,,
73,1977,,,,,49.8557990739029,145.607160135462,58.72292627000215,86.17444383002255,,,,31.135232926277702,,,,,,63.92671023512245,,,,,,,,92.77255403356438,104.22968405804392,,,,
74,1978,,,,,51.39377894041628,142.94750846637635,59.87218129400823,84.1622711869215,,,,31.886024423337854,,,,,,67.51648379711688,,,,,,,,93.81117997492252,105.39394110550704,,,,
75,1979,,,,,52.8484083876012,123.76729559748425,59.415905564916095,82.62899315155899,,,,34.50022614201719,,,,,,62.705152375794405,,,,,,,,92.15531567091566,106.47826813885423,,,,
76,1980,,,,,52.52365908807411,131.1821480406386,59.80788793728019,84.00293504615254,,,,33.2790592492085,,,,,,67.31359516141072,,,,,,,,88.2492159999741,104.58174280110408,,,,
77,1981,,,,,51.268764355093396,127.54862119013059,58.332718178388554,87.10936946134086,,,,31.768430574400725,,,,,,72.84902663214167,,,,,,,,94.24590821691109,107.16648325113998,,,,
78,1982,,,,,50.8596285823827,119.98959845186259,57.261461716651105,87.64072624668584,,,,30.691994572591586,,,,,,74.78233615986369,,,,,,,,94.40615804477405,107.74334958158809,,,,
