Country Name En,Unit Name,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag
Bolivia (Plurinational State of),Tonnes - live weight,7800,E,7600,E,7500,E,7900,E,7400,E,7000,E,7000,E,7000,E,6990,A,7171,A,6820,A,6677,A,6946,A,7568,A,6750,A,5770,A,6080,E,6360,A,6436,A,6599,A,6300,E,5940,A,6106,A
"Bonaire, Sint Eustatius and Saba",Tonnes - live weight,265,E,265,E,250,E,265,E,261,E,261,A,263,E,305,E,259,A,236,A,210,A,161,E,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Tonnes - live weight,305,A,305,A,305,A,305,A,305,A,305,A,305,A,305,A,305,E,305,E,305,E,305,E,305,E,305,E,305,E,305,E,305,E,305,E,305,E,255,E,255,E,255,E,255,E
Botswana,Number,3655,A,2007,A,1550,A,1960,A,1600,A,3200,A,900,A,4440,A,4500,A,4000,A,2800,A,2000,A,1500,A,1626,A,374,A,320,A,,,,,,,9,A,0,A,152,A,11,A
Botswana,Tonnes - live weight,38,E,38,E,33,E,38,E,38,E,38,E,38,A,81,A,1168,A,431,A,378,A,234,A,60,A,73,E,86,A,122,A,81,A,132,A,161,A,122,A,139,A,118,A,166,A
Brazil,Number,16755,A,13095,A,4251,A,9230,A,3275,A,11690,A,177,A,12720,A,5258,A,22345,A,6645,A,9082,A,1176,A,9141,A,7051,A,12053,A,979,A,638,A,7357,A,13210,A,6181,A,1326,A,11351,A
Brazil,Tonnes - live weight,758512,E,768912.556,E,730845.922,E,734278.778,E,725398.373,E,732531.009,E,726606.967,E,709154.194,E,773293.416,A,770017.557,A,818590.486,A,760696,A,785369,A,825412,A,791892,A,783177,A,779113,A,750261,A,746217,A,712144,A,755582,A,730378,A,666846,A
British Indian Ocean Territory,Tonnes - live weight,0,A,0,A,0,A,0,A,10,A,15,A,7,A,12,A,9,A,11,A,9,A,34,A,40,A,44,A,34,A,24,A,21,A,28,A,28,A,28,A,28,A,0,A,0,A
British Virgin Islands,Tonnes - live weight,1134.438,E,1133.19,E,1121,E,1192,E,1192,E,1192,E,1192,E,1199.652,E,1204.399,E,1202.5,E,1196,E,1200,E,1201,E,1201,E,1202,E,1251,E,1308,E,1295,E,1262,A,2771,A,1062,A,837,A,43,A
Brunei Darussalam,Number,,,,,,,,,,,,,,,,,,,,,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
